Buck and the Preacher,,United States,1972
Cowboy,,United States,1958
Ain’t Them Bodies Saints,,United States,2013
Daratt,,Chad,2006
Buchanan Rides Alone,,United States,1958
Anthem,,United States,1991
Island in the Sun,,United States,1957
Actress,,United States,2014
Driller Killer&CM^ The,,United States,1979
He Was Her Man,,United States,1934
Shampoo,,United States,1975
Lolita,,United States,1962
Let’s Go Crazy,,United Kingdom,1951
Tatsumi,,Singapore,2011
Matador,,Spain,1986
Poison Ivy,,United States,1992
Symphony in Black: A Rhapsody of Negro Life,,United States,1935
Abuse of Weakness,,France,2013
Dr. Strangelove&CM^ or: How I Learned to Stop Worrying and Love the Bomb,,United Kingdom,1964
Homecoming&CM^ The,,United Kingdom; United States,1973
Cat o’ Nine Tails&CM^ The,,Italy,1971
Bowery&CM^ The,,United States,1994
Leadbelly,,United States,1976
Aya of Yop City,,France,2013
Experiment in Terror,,United States,1962
Kingdom of the Fairies&CM^ The,,France,1903
Vampire Lovers&CM^ The,,United Kingdom,1970
Sudden Fear,,United States,1952
Our Dancing Daughters,,United States,1928
Push Comes to Shove,,United States,1991
Booksellers&CM^ The,,United States,2019
Janine,,United States,1990
One Day Pina Asked . . .,,Belgium; France,1983
It’s Alive,,United States,1974
Girl on a Motorcycle&CM^ The,,United Kingdom; France,1968
Blow Out,,United States,1981
Drums Along the Mohawk,,United States,1939
Nostalgia for the Light,,France; Chile,2010
Ray & Liz,,United Kingdom,2018
Ryuichi Sakamoto: Coda,,Japan; United States,2017
Nights of Cabiria,,Italy,1957
Bundle of Blues&CM^ A,,United States,1933
Canterville Ghost&CM^ The,,United States,1944
Saboteur,,United States,1942
Miracle of Morgan’s Creek&CM^ The,,United States,1944
Street of Crocodiles,,,1986
Cure&CM^ The,,United States,1917
Tune&CM^ The,,United States,1992
Cleopatra,,United States; United Kingdom,1963
Rhapsody in Black and Blue&CM^ A,,United States,1932
Angel Face,,United States,1953
Minnie and Moskowitz,,United States,1971
Animal Crackers,,United States,1930
I’m No Angel,,United States,1933
Men&CM^ The,,United States,1950
Long Goodbye&CM^ The,,United States,1973
Tomboy,,France,2011
Onion Field&CM^ The,,United States,1979
Bad and the Beautiful&CM^ The,,United States,1952
Uptight,,United States,1968
Death Rides a Horse,,Italy,1967
Kiss and Make-Up,,United States,1934
Foul King&CM^ The,,South Korea,2000
Heidi,,United States,1937
Vision: From the Life of Hildegard von Bingen,,Germany,2009
Sergeant Rutledge,,United States,1960
When Tomorrow Comes,,United States,1939
Now&CM^ Voyager,,United States,1942
Mark of Zorro&CM^ The,,United States,1940
Woman&CM^ A Part&CM^ A,,United States,2017
Lovers and Lollipops,,United States,1956
Shaft,,United States,1971
Mississippi Mermaid,,France,1969
Body and Soul,,United States,1925
Cat People,,United States,1942
Freedom Fields,,Libya; United Kingdom,2018
Earth,,Austria,2019
Out-of-Towners&CM^ The,,United States,1970
My Favorite Wife,,United States,1940
Grigris,,Chad,2013
On the Edge,,United States,1949
Atlantic City,,France; Canada,1980
Don’t Look Now,,United Kingdom,1973
Darling,,United Kingdom,1965
Olivia,,France,1951
Too Late for Tears,,United States,1949
Footlight Parade,,United States,1933
Safe,,United States,1995
Time and Judgement,,United Kingdom; Barbados,1988
Four Elements&CM^ The,,United States,1966
Kirikou and the Sorceress,,France,1998
BIG FISH & BEGONIA: Mandarin Version,,China,2016
